key,n,p30,p45,p60,period,product,split
AS,23625,0.14433862433862435,0.0866031746031746,0.05604232804232804,2024-07,arr,airline
B6,19852,0.2331754986903083,0.1834575861374169,0.1453757807777554,2024-07,arr,airline
DL,85878,0.22130231258296654,0.17473625375532734,0.14265586063951186,2024-07,arr,airline
F9,18516,0.25826312378483474,0.19512853748109743,0.15041045582199178,2024-07,arr,airline
G4,12419,0.2106449794669458,0.15975521378532892,0.12062162815041469,2024-07,arr,airline
HA,6756,0.06719952634695085,0.03744819419775015,0.023682652457075192,2024-07,arr,airline
MQ,25769,0.18875392913966393,0.13298925065000583,0.09573518568823004,2024-07,arr,airline
NK,23436,0.2665557262331456,0.20506912442396313,0.16047960402799114,2024-07,arr,airline
OH,19217,0.2588853619191341,0.21049071134932612,0.1748451891554353,2024-07,arr,airline
OO,63182,0.1458643284479757,0.1090025640213985,0.08374220505840271,2024-07,arr,airline
UA,62691,0.2103810754334753,0.1647285894306998,0.13357579237849132,2024-07,arr,airline
WN,126291,0.18318011576438542,0.12308082127784244,0.08761511113222636,2024-07,arr,airline
YX,24803,0.1625206628230456,0.12542837559972583,0.09777043099625045,2024-07,arr,airline
1,101769,0.22662107321482966,0.17283259145712349,0.135041122542228,2024-07,arr,dow
2,98462,0.18976864170949198,0.14168917958197072,0.11028620178342914,2024-07,arr,dow
3,100114,0.1921609365323531,0.14151866871766186,0.10766725932437021,2024-07,arr,dow
4,79670,0.1753106564578888,0.12761390736789255,0.09761516254550019,2024-07,arr,dow
5,79084,0.25772596226796823,0.19856102372161247,0.1583632593192049,2024-07,arr,dow
6,73927,0.18615661395701164,0.13791983984200631,0.10780905487846118,2024-07,arr,dow
7,80912,0.24437660668380462,0.18834041922088193,0.14829691516709512,2024-07,arr,dow
0001-0559,18994,0.3107823523217858,0.227492892492366,0.17531852163841213,2024-07,arr,time_blk
0600-0659,10822,0.11892441323230457,0.09157272223248937,0.07318425429680281,2024-07,arr,time_blk
0700-0759,26420,0.08421650264950795,0.06506434519303558,0.054125662376987134,2024-07,arr,time_blk
0800-0859,29858,0.08882041663875678,0.0678880032152187,0.05629981914394802,2024-07,arr,time_blk
0900-0959,38387,0.09766327142001198,0.0722379972386485,0.05697241253549379,2024-07,arr,time_blk
1000-1059,34314,0.10774028093489538,0.07827708806900974,0.060733228419886924,2024-07,arr,time_blk
1100-1159,36320,0.11093061674008811,0.0816079295154185,0.06225220264317181,2024-07,arr,time_blk
1200-1259,36718,0.1242714744811809,0.09009205294406013,0.06887630045209434,2024-07,arr,time_blk
1300-1359,34845,0.14745300617018223,0.10733247237767254,0.0806715454154111,2024-07,arr,time_blk
1400-1459,34540,0.15964099594672843,0.11580775911986103,0.0877533294730747,2024-07,arr,time_blk
1500-1559,32974,0.1916661612179293,0.14029235154970582,0.10662946563959483,2024-07,arr,time_blk
1600-1659,36994,0.2141428339730767,0.15683624371519705,0.12056009082553927,2024-07,arr,time_blk
1700-1759,38394,0.25647236547377195,0.19180080220867843,0.1485648799291556,2024-07,arr,time_blk
1800-1859,35186,0.29383845847780365,0.22236116637298925,0.17342124708690956,2024-07,arr,time_blk
1900-1959,36577,0.3101129124859885,0.23883861442983295,0.1876589113377259,2024-07,arr,time_blk
2000-2059,33840,0.3119385342789598,0.23921394799054374,0.18661347517730498,2024-07,arr,time_blk
2100-2159,37197,0.3419899454257064,0.26561281823802996,0.2101513562921741,2024-07,arr,time_blk
2200-2259,30643,0.34546225891720783,0.26704304408837254,0.21241392814019516,2024-07,arr,time_blk
2300-2359,30915,0.33896166909267345,0.25793304221251817,0.2014556040756914,2024-07,arr,time_blk
0-500,207776,0.201466964423225,0.1531168181118127,0.12052883874942245,2024-07,arr,distance
501-1000,226005,0.2171013915621336,0.16418220835822217,0.12808123714077121,2024-07,arr,distance
